Title,URL,City,Type,Area,Price,Purpose,Location,Description,Built in year,Parking Spaces,Double Glazed Windows,Central Air Conditioning,Central Heating,Flooring,Electricity Backup,Waste Disposal,Floors,Other Main Features,Furnished,Bedrooms,Bathrooms,Servant Quarters,Drawing Room,Dining Room,Kitchens,Study Room,Prayer Room,Powder Room,Store Rooms,Steam Room,Lounge or Sitting Room,Laundry Room,Other Rooms,Broadband Internet Access,Satellite or Cable TV Ready,Intercom,Community Lawn or Garden,Community Swimming Pool,Community Gym,First Aid or Medical Centre,Day Care Centre,Kids Play Area,Barbeque Area,Mosque,Community Centre,Lawn or Garden,Sauna,Jacuzzi,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Maintenance Staff,Security Staff,Other Facilities
Hmr Waterfront 2 Bed Room Premium Apartment On 5 Year Instalment Plan,https://www.zameen.com/Property/dha_phase_8_hmr_waterfront_hmr_waterfront_2_bed_room_premium_apartment_on_5_year_instalment_plan-52472233-19639-1.html,Karachi,Flat,128 Sq. Yd.,"PKR
4.75 Crore",For Sale,"DHA Defence, Karachi, Sindh","SAIMA MARINA RESIDENCE HMR WATERFRONT
INVESTOR DEAL EXCLUSIVE OPPORTUNITY

2-Bed Apartment | Partial Sea View | Higher Floor 
 Type: 2 Bedroom with Lounge
 Size: 1,087 sq. ft. 
 Floor Range: 24th to 28th
 View: Partial Sea View
 Offer Price: PKR 4.76 Crore

This is a rare and highly exclusive deal, available only for our close investor circle. 

Expression of Interest (EOI) required with a token amount of
Act fast limited availability

we are award winning & top seller of hmr waterfront , you will get exclusive and best discounted deal from us 

all units are available of hmr & emaar on exclusive discounted price .",,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chance Deal! Luxury 2 Bedroom Seafront Apartment with Private Pool in Balcony Available On Easy Instalment Plan At HMR Waterfront! Just Pay 10% Down Payment | 4 years Plan | 1 % Monthly Installment,https://www.zameen.com/Property/dha_defence_dha_phase_8_chance_deal_luxury_2_bedroom_seafront_apartment_with_private_pool_in_balcony_available_on_easy_instalment_plan_at_hmr_waterfront_just_pay_10_down_payment_4_years_plan_1_monthly_installment-52669975-1485-1.html,Karachi,Flat,161 Sq. Yd.,"PKR
6.25 Crore",For Sale,"DHA Defence, Karachi, Sindh","Live the Seafront Dream at H&S Residence 
2 Bedroom Seafront Apartments | Gated Community Living

Wake up to the soothing sound of waves and breathtaking sea views every day. Nestled in a secure, gated community, H&S Residence offers the perfect blend of luxury, privacy, and coastal serenity. 

 Only 10% Down Payment
 Easy Monthly Installments Just 1.25%
 Flexible 5-Year Payment Plan

Enjoy world-class amenities, round-the-clock security, and the peaceful charm of seafront living all at an affordable price. 

 Location: Prime Seafront, DHA Phase 8, Karachi
 Limited units available Book now and own your slice of the sea!",,,,,,,,,,,,2,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxury 1 Bed At H& S Residence By Japanese Architect At HMR Waterfront,https://www.zameen.com/Property/dha_phase_8_hmr_waterfront_luxury_1_bed_at_h_s_residence_by_japanese_architect_at_hmr_waterfront-52682686-19639-1.html,Karachi,Flat,111 Sq. Yd.,"PKR
3.45 Crore",For Sale,"DHA Defence, Karachi, Sindh","Live the Seafront Dream at H&S Residence 
1 Bedroom Seafront Apartments | Gated Community Living

Wake up to the soothing sound of waves and breathtaking sea views every day. Nestled in a secure, gated community, H&S Residence offers the perfect blend of luxury, privacy, and coastal serenity. 

 Only 10% Down Payment
 Easy Monthly Installments Just 1.25%
 Flexible 5-Year Payment Plan

Enjoy world-class amenities, round-the-clock security, and the peaceful charm of seafront living all at an affordable price. 

 Location: Prime Seafront, DHA Phase 8, Karachi
 Limited units available Book now and own your slice of the sea!",,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxury 1 Bed Seafront Apartment at HMR waterfront with 1% Monthly Installment| 5 % Down Payment only | Chance Deal for Investment,https://www.zameen.com/Property/dha_phase_8_hmr_waterfront_luxury_1_bed_seafront_apartment_at_hmr_waterfront_with_1_monthly_installment_5_down_payment_only_chance_deal_for_investment-52682616-19639-1.html,Karachi,Flat,106 Sq. Yd.,"PKR
2.98 Crore",For Sale,"DHA Defence, Karachi, Sindh","Chance Deal at HMR Waterfront 1-Bed Apartment with Sea Views

Secure your spot in Karachis most prestigious waterfront development HMR Waterfront, DHA Phase 8. This 1-bedroom luxury apartment is a rare chance deal, offering unbeatable value, full lifestyle amenities, and a flexible payment plan. 

Project Highlights:
 1 Bed | Modern Layout | High Floor
 Sea-Facing Unit with Breathtaking Views
 Located in a Gated, Beachfront Community
 World-Class Amenities: Infinity Pool, Gym, Walkways, Private Beach Access
 Developed by HMR Known for Premium Coastal Projects

Payment Plan:
 Only 05% Down Payment
 4-Year Easy Installments

This opportunity is perfect for investors or end-users seeking Dubai-style living with strong capital appreciation and al income potential. 

 HMR Waterfront DHA Phase 8, Karachi
 Call now to lock in this limited chance deal before prices rise!",2,1,,,,,,,,,,1,2,1,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Bed Apartment For Booking On 3 Years | Saima Marina At HMR Waterfront DHA Phase 8 | 10% DP Only,https://www.zameen.com/Property/dha_phase_8_hmr_waterfront_2_bed_apartment_for_booking_on_3_years_saima_marina_at_hmr_waterfront_dha_phase_8_10_dp_only-52669997-19639-1.html,Karachi,Flat,156 Sq. Yd.,"PKR
4.65 Crore",For Sale,"DHA Defence, Karachi, Sindh","HMR WATERFRONT 

Own Your Dream Apartment in Saima Marina, DHA Phase 8 Starting with Just 10% Down Payment!

Introducing an excellent investment and living opportunity in the prestigious Saima Marina project, located in the heart of DHA Phase 8, Karachi. This 2 Bedroom apartment is available on booking with a flexible payment plan and only 10% down payment required to secure your unit. 

Project Highlights:
 2 Bedrooms with Attached Bathrooms
 Spacious Lounge & Dining Area
 Modern Open Kitchen
 Private Balcony
 Sea-Facing & Corner Units Available (Limited)
 Premium Quality Construction

Payment Plan:
 Booking with Just 10% Down Payment
 Flexible Installment Plan
 Easy Monthly or Quarterly Payments
 Ideal for Investors & End-Users

Project Amenities:
 24/7 Security & Gated Premises
 Backup Generator
 High-Speed Lifts
 Reserved Parking
 Childrens Play Area & Family Spaces

Location Advantages:
 Prime Location in DHA Phase 8, Karachi
 Walking Distance to the Beach
 Close to Schools, Hospitals, and Commercial Zones
 Easy Access to Main Korangi Road & Sea View



Status: Booking Open
Unit Type: 2 Bed Apartment
Down Payment: Starting from 10%
Limited Units Available Book Now Before Prices Increase!",,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centrally Located Flat In Metropolis Residency Is Available For Sale,https://www.zameen.com/Property/jinnah_avenue_metropolis_residency_centrally_located_flat_in_metropolis_residency_is_available_for_sale-52704994-11073-1.html,Karachi,Flat,217 Sq. Yd.,"PKR
2.6 Crore",For Sale,"Jinnah Avenue, Karachi, Sindh","Metropolis Residency
3Bed Dd West Open Corner
Ready To Move
Stand By Gernator
24hr K Electric Available
Sweet Water
Security Services 24hr
GYM, SWIMMING POOL, Air Condition Masjid
AIR Condition Lobby
Near Main Jinnah Avenue Malir Cantt.",2024,1,,,,,,,,,,3,3,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240 SQ YARDS GROUND PLUS TWO SINGLE BELT PARK FACING LEASED HOUSE AVAILABLE FOR SALE,https://www.zameen.com/Property/gulistan_e_jauhar_gulistan-e-jauhar_-_block_3_240_sq_yards_ground_plus_two_single_belt_park_facing_leased_house_available_for_sale-52734010-6826-1.html,Karachi,House,240 Sq. Yd.,"PKR
6.75 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh","240 SQ YARDS ON PAPER 
EXTRA LAND BACK SIDE GARDEN AREA 150 SQ YARDS 
GROUND PLUS TWO
GROUND PLUS ONE MAP APPROVED 

TOTAL 9 BEDROOMS TILES FLOORING AND MARBLE FLOORING 
TOTAL 10 BATHROOM TILES FLOORING 
3 DRAWING DINNG 
3 TV LOUNGE 
3 KITCHEN 
TERRACE FRONT SIDE AND BACK SIDE 
TOTAL CAR PARKING SPACE 6 INSIDE AND OUTSIDE
60 WILD ROAD
PARKING FACING 
SINGLE BELT HOUSE 
WEST OPEN AND EAST OPEN 
LEASED HOUSE 
1ST FLOOR 2ND FLOOR ED 
TOTAL MONTHLY  INCOME 137k
DEMAND 675 Crore 

3 K ELECTRIC METERS 
2 SSGC METERS 
24 HOUR SWEET WATER 
5KV SOLAR INSTALLED 

ANY TIME FAMILY VISIT
MORE INFORMATION 
CALL US 
MIR SALMAN KHAN",2008,6,,,,,,,,,,9,6,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luxury 200 Sq. Yards Villa for Sale in Precinct 11-A, Bahria Town Karachi",https://www.zameen.com/Property/bahria_town_precinct_11_bahria_town_-_precinct_11-a_luxury_200_sq_yards_villa_for_sale_in_precinct_11-a_bahria_town_karachi-52733912-10020-1.html,Karachi,House,200 Sq. Yd.,"PKR
1.68 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh","Property Overview:
Discover refined living in this beautifully designed 200 square yards villa located in the prime Precinct 11-A of Bahria Town Karachi. This luxury villa offers modern architecture, spacious interiors, and a peaceful neighborhood perfect for families seeking comfort, style, and convenience. 

Key Features:

3 Generously Sized Bedrooms with attached modern washrooms 

Spacious Lounge & Dining Area for comfortable family living

Stylish Kitchen with quality fittings and storage space

1 Servant Quarter for added convenience

High-Quality Finishes & Fixtures throughout

Well-maintained and Ready to Move In

Location Highlights:
 Situated in Precinct 11-A, one of the most desirable and developed blocks
 Close to parks, masjid, commercial areas, and public transport
 Peaceful surroundings with 24/7 security and gated access
 Just minutes away from the main entrance of Bahria Town Karachi

Why Buy This Villa?
Perfect for families looking for a spacious, move-in-ready home or investors seeking long-term value. Precinct 11-A offers a well-developed environment with strong community presence and excellent infrastructure.",,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAND NEW 300 SQUARE YARDS OFFICIAL BIFURCATION DOUBLE STOREY HOUSE AVAILABLE FOR SALE,https://www.zameen.com/Property/gulistan_e_jauhar_gulistan-e-jauhar_-_block_14_brand_new_300_square_yards_official_bifurcation_double_storey_house_available_for_sale-52686012-6838-1.html,Karachi,House,300 Sq. Yd.,"PKR
8 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh","300 SQ YARDS
LUXURIOUS Elevation
BRAND NEW HOUSE 
OFFICIAL BIFURCATION HOUSE 
GROUND FLOOR 
3 BEDROOMS WITH ATTACHED TILES BATHROOM WITH WARDROBE
DRAWING ROOM WITH ATTACHED BATHROOM
BIG TV LOUNGE 
OPEN KITCHEN 
STORY ROOM 
WASHING AREA 
PARKING SPACE 

1ST FLOOR 
3 BEDROOMS WITH ATTACHED TILES BATHROOM WITH WARDROBE
DRAWING ROOM 
BIG TV LOUNGE 
OPEN KITCHEN 
STORY ROOM 
WASHING AREA 
OPEN BIG TERRACE 
 MARBLE FLOORING ROOF TOP 
1 BIG GATE 1 SMALL GATE 
ALL SEPARATE METERS 
KDA TRANSFER HOUSE 
24 HOURS SWEET WATER 
24 HOURS K ELECTRIC 
ANYTIME FAMILY VISIT 
MORE INFORMATION 
CALL US",2025,2,,,,,,,,,,6,6,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand New Apartment Available,https://www.zameen.com/Property/dha_phase_8_al-murtaza_commercial_area_brand_new_apartment_available-52733532-10370-1.html,Karachi,Flat,189 Sq. Yd.,"PKR
4.4 Crore",For Sale,"DHA Defence, Karachi, Sindh",,2025,1,,,,,,,,,,3,3,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
