match_id,season,venue,innings,batting_team,bowling_team,toss_winner,toss_decision,match_winner,powerplay_runs,powerplay_wickets,powerplay_run_rate,powerplay_sixes,powerplay_fours,powerplay_dot_balls,powerplay_extras,final_total,total_wickets,total_sixes,total_fours,total_balls
959175,2015/16,Dubai International Cricket Stadium,1,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,22,1,3.67,1,1,25,0,128,7,4,10,124
959175,2015/16,Dubai International Cricket Stadium,2,Quetta Gladiators,Islamabad United,Quetta Gladiators,field,Quetta Gladiators,58,1,9.67,2,8,16,2,132,2,4,14,99
959177,2015/16,Dubai International Cricket Stadium,1,Lahore Qalandars,Karachi Kings,Karachi Kings,field,Karachi Kings,38,2,6.33,0,5,16,3,125,8,2,9,125
959177,2015/16,Dubai International Cricket Stadium,2,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Karachi Kings,57,2,9.5,3,5,18,3,131,3,7,11,98
959179,2015/16,Dubai International Cricket Stadium,1,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,bat,Peshawar Zalmi,34,2,5.67,0,3,22,13,145,7,3,10,126
959179,2015/16,Dubai International Cricket Stadium,2,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,bat,Peshawar Zalmi,41,3,6.83,0,6,22,8,121,9,2,10,125
959181,2015/16,Dubai International Cricket Stadium,1,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,30,2,5.0,2,0,21,5,147,7,3,9,127
959181,2015/16,Dubai International Cricket Stadium,2,Quetta Gladiators,Karachi Kings,Quetta Gladiators,field,Quetta Gladiators,39,0,6.5,1,4,16,1,153,2,8,10,108
959183,2015/16,Dubai International Cricket Stadium,1,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,27,3,4.5,0,4,24,2,117,6,1,11,124
959183,2015/16,Dubai International Cricket Stadium,2,Peshawar Zalmi,Lahore Qalandars,Peshawar Zalmi,field,Peshawar Zalmi,43,0,7.17,1,5,21,8,118,1,3,10,102
959185,2015/16,Dubai International Cricket Stadium,1,Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,49,1,8.17,2,4,15,2,132,8,5,7,123
959185,2015/16,Dubai International Cricket Stadium,2,Karachi Kings,Islamabad United,Karachi Kings,field,Islamabad United,35,2,5.83,0,6,19,0,130,9,2,12,124
959187,2015/16,Dubai International Cricket Stadium,1,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,29,2,4.83,0,1,19,1,135,7,5,5,126
959187,2015/16,Dubai International Cricket Stadium,2,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,field,Quetta Gladiators,44,2,7.33,1,4,16,3,139,7,3,11,124
959189,2015/16,Dubai International Cricket Stadium,1,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,34,0,5.67,1,4,21,1,194,3,12,16,123
959189,2015/16,Dubai International Cricket Stadium,2,Quetta Gladiators,Lahore Qalandars,Quetta Gladiators,field,Lahore Qalandars,42,3,7.0,1,5,18,3,131,10,3,12,103
959191,2015/16,Sharjah Cricket Stadium,1,Lahore Qalandars,Islamabad United,Islamabad United,field,Islamabad United,46,2,7.67,1,6,17,3,166,6,6,15,123
959191,2015/16,Sharjah Cricket Stadium,2,Islamabad United,Lahore Qalandars,Islamabad United,field,Islamabad United,58,0,9.67,4,4,15,4,169,2,14,9,101
959195,2015/16,Sharjah Cricket Stadium,1,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,54,1,9.0,4,3,15,1,117,10,6,5,118
959195,2015/16,Sharjah Cricket Stadium,2,Quetta Gladiators,Islamabad United,Quetta Gladiators,field,Quetta Gladiators,46,2,7.67,0,7,15,2,118,3,1,12,103
959197,2015/16,Sharjah Cricket Stadium,1,Karachi Kings,Lahore Qalandars,Lahore Qalandars,field,Karachi Kings,49,0,8.17,3,3,14,2,178,5,9,9,127
959197,2015/16,Sharjah Cricket Stadium,2,Lahore Qalandars,Karachi Kings,Lahore Qalandars,field,Karachi Kings,43,0,7.17,1,6,18,2,151,8,4,14,126
959199,2015/16,Sharjah Cricket Stadium,1,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,36,1,6.0,0,6,20,4,152,6,8,10,122
959199,2015/16,Sharjah Cricket Stadium,2,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,field,Peshawar Zalmi,48,1,8.0,1,7,16,1,153,3,6,13,114
959201,2015/16,Sharjah Cricket Stadium,1,Karachi Kings,Quetta Gladiators,Karachi Kings,bat,Quetta Gladiators,49,1,8.17,2,5,13,0,126,9,3,9,121
959201,2015/16,Sharjah Cricket Stadium,2,Quetta Gladiators,Karachi Kings,Karachi Kings,bat,Quetta Gladiators,47,1,7.83,0,7,18,1,127,5,2,10,114
959203,2015/16,Sharjah Cricket Stadium,1,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,41,1,6.83,1,3,19,8,164,3,3,15,123
959203,2015/16,Sharjah Cricket Stadium,2,Peshawar Zalmi,Lahore Qalandars,Peshawar Zalmi,field,Lahore Qalandars,54,1,9.0,1,7,15,6,160,7,6,11,125
959205,2015/16,Sharjah Cricket Stadium,1,Karachi Kings,Islamabad United,Islamabad United,field,Islamabad United,32,2,5.33,0,4,17,0,128,5,2,10,121
959205,2015/16,Sharjah Cricket Stadium,2,Islamabad United,Karachi Kings,Islamabad United,field,Islamabad United,32,3,5.33,2,4,27,0,131,5,7,10,116
959207,2015/16,Sharjah Cricket Stadium,1,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,bat,Peshawar Zalmi,44,3,7.33,2,3,18,6,129,10,7,6,114
959207,2015/16,Sharjah Cricket Stadium,2,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,bat,Peshawar Zalmi,41,0,6.83,1,4,18,7,130,2,2,11,115
959209,2015/16,Dubai International Cricket Stadium,1,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,61,0,10.17,5,4,15,2,201,2,12,17,124
959209,2015/16,Dubai International Cricket Stadium,2,Quetta Gladiators,Lahore Qalandars,Quetta Gladiators,field,Quetta Gladiators,77,1,12.83,1,15,10,2,203,8,3,26,124
959211,2015/16,Dubai International Cricket Stadium,1,Karachi Kings,Peshawar Zalmi,Karachi Kings,bat,Peshawar Zalmi,42,1,7.0,1,4,16,4,152,7,5,10,128
959211,2015/16,Dubai International Cricket Stadium,2,Peshawar Zalmi,Karachi Kings,Karachi Kings,bat,Peshawar Zalmi,32,2,5.33,0,4,19,1,158,5,7,14,114
959213,2015/16,Dubai International Cricket Stadium,1,Lahore Qalandars,Islamabad United,Islamabad United,field,Islamabad United,28,3,4.67,1,1,24,4,150,5,6,10,125
959213,2015/16,Dubai International Cricket Stadium,2,Islamabad United,Lahore Qalandars,Islamabad United,field,Islamabad United,48,2,8.0,1,6,15,1,151,5,2,18,115
959215,2015/16,Dubai International Cricket Stadium,1,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Quetta Gladiators,35,2,5.83,0,7,22,0,133,10,4,13,119
959215,2015/16,Dubai International Cricket Stadium,2,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Quetta Gladiators,32,3,5.33,0,4,24,7,132,9,1,16,126
959217,2015/16,Dubai International Cricket Stadium,1,Karachi Kings,Islamabad United,Islamabad United,field,Islamabad United,29,3,4.83,1,4,24,4,111,9,2,7,121
959217,2015/16,Dubai International Cricket Stadium,2,Islamabad United,Karachi Kings,Islamabad United,field,Islamabad United,38,1,6.33,1,6,22,1,115,1,4,13,87
